ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
920001,"28° 40' 51,5442''","- 17° 46' 02,2044''",3.0898,47.232,0.05,979450.33
920002,"28° 40' 48,1871''","- 17° 45' 58,7181''",3.3477,47.035,0.05,979450.74
922002,"28° 42' 13,3954''","- 17° 45' 18,9877''",101.6294,144.951,0.05,979429.17
922003,"28° 42' 30,6358''","- 17° 45' 23,8145''",85.7262,129.104,0.05,979433.51
922004,"28° 42' 36,3009''","- 17° 45' 01,4180''",168.6801,211.947,0.05,979411.22
922005,"28° 42' 44,2464''","- 17° 45' 02,1960''",252.4985,295.744,0.05,979394.57
922006,"28° 43' 08,6956''","- 17° 44' 47,8441''",330.4024,373.636,0.05,979377.22
922008,"28° 43' 31,1339''","- 17° 44' 59,8780''",361.2576,404.488,0.05,979372.95
922009,"28° 43' 50,0655''","- 17° 44' 43,5038''",412.9047,456.084,0.05,979359.1
922010,"28° 44' 13,2110''","- 17° 44' 45,9308''",413.9990,457.125,0.05,979362.5
922011,"28° 44' 25,0314''","- 17° 44' 41,9414''",419.0979,462.206,0.05,979359.39
922012,"28° 44' 40,6239''","- 17° 44' 56,8019''",430.2402,473.400,0.05,979362.72
922013,"28° 45' 03,6511''","- 17° 45' 07,8155''",443.9786,487.105,0.05,979360.54
922014,"28° 45' 27,6977''","- 17° 45' 23,1726''",419.8904,463.038,0.05,979366.42
922016,"28° 45' 25,8585''","- 17° 45' 54,8127''",416.3051,459.607,0.05,979370.95
922017,"28° 45' 45,4369''","- 17° 45' 48,2589''",424.5672,467.743,0.05,979369.03
922018,"28° 46' 04,5242''","- 17° 45' 45,2254''",395.4285,438.552,0.05,979373.32
922019,"28° 46' 00,9482''","- 17° 46' 10,4577''",341.3409,384.591,0.05,979386.7
922020,"28° 46' 20,5417''","- 17° 46' 01,5832''",342.2621,385.434,0.05,979384.6
922022,"28° 46' 43,3605''","- 17° 45' 50,0338''",271.3838,314.446,0.05,979400.29
922023,"28° 47' 11,9738''","- 17° 45' 50,7135''",192.3734,235.379,0.05,979416.83
922024,"28° 47' 14,7110''","- 17° 46' 08,6957''",215.5204,258.553,0.05,979411.92
922025,"28° 47' 42,9231''","- 17° 46' 14,2062''",246.7589,289.724,0.05,979406.24
922026,"28° 48' 14,5135''","- 17° 46' 24,7980''",268.2199,311.034,0.05,979399.87
922028,"28° 48' 37,7107''","- 17° 46' 18,2072''",212.3040,254.916,0.05,979407.8
922029,"28° 48' 46,2270''","- 17° 46' 29,2014''",180.9289,223.642,0.05,979417.17
922030,"28° 48' 42,7031''","- 17° 46' 47,3051''",132.7149,175.501,0.05,979429.63
922031,"28° 48' 56,1169''","- 17° 46' 34,4398''",136.2138,178.889,0.05,979426.51
922033,"28° 49' 07,1239''","- 17° 46' 46,4493''",158.6991,201.380,0.05,979423.16
922034,"28° 49' 25,9693''","- 17° 46' 58,5485''",202.2925,244.941,0.05,979410.86
922035,"28° 49' 43,7519''","- 17° 47' 09,4816''",257.6843,300.259,0.05,979396.91
922036,"28° 49' 41,2179''","- 17° 47' 15,6055''",320.1573,362.823,0.05,979381.59
922037,"28° 49' 46,5010''","- 17° 47' 27,4927''",372.7092,415.291,0.05,979368.54
922039,"28° 49' 41,4626''","- 17° 47' 46,1195''",457.8251,500.475,0.05,979351.76
922040,"28° 49' 51,0786''","- 17° 48' 02,4115''",507.2614,549.904,0.05,979337.26
922041,"28° 49' 47,1338''","- 17° 48' 10,8829''",549.8151,592.503,0.05,979328.42
922042,"28° 49' 43,0003''","- 17° 48' 15,6514''",560.0447,602.694,0.05,979328.39
922043,"28° 49' 33,9857''","- 17° 48' 21,4065''",589.5295,632.278,0.05,979324.08
922044,"28° 49' 36,9190''","- 17° 48' 40,9118''",590.9718,633.710,0.05,979324.84
922045,"28° 49' 37,2295''","- 17° 48' 57,2210''",563.1534,605.918,0.05,979331.81
922046,"28° 49' 16,7680''","- 17° 49' 05,5830''",529.5386,572.490,0.05,979346.05
922048,"28° 49' 32,4717''","- 17° 49' 21,1553''",496.7181,539.557,0.05,979350.76
922049,"28° 49' 12,1394''","- 17° 49' 17,4879''",472.8500,515.836,0.05,979358.88
922050,"28° 49' 29,9502''","- 17° 49' 37,7508''",484.9543,527.790,0.05,979355.85
922051,"28° 49' 21,6849''","- 17° 49' 51,3479''",509.0415,552.025,0.05,979349.48
922052,"28° 48' 49,4216''","- 17° 49' 53,1329''",472.1597,515.311,0.05,979360.39
922053,"28° 49' 19,0903''","- 17° 50' 08,1196''",456.1462,499.154,0.05,979364.61
922055,"28° 49' 07,1235''","- 17° 50' 22,9081''",489.2284,532.318,0.05,979359.17
922056,"28° 49' 25,6738''","- 17° 50' 39,5809''",442.7677,485.762,0.05,979367.43
922057,"28° 49' 04,7753''","- 17° 50' 50,3667''",403.7126,446.850,0.05,979376.39
922058,"28° 49' 21,3243''","- 17° 51' 09,0431''",500.3773,543.381,0.05,979355.3
922059,"28° 49' 15,3139''","- 17° 51' 31,8814''",619.0579,662.116,0.05,979329.89
922060,"28° 49' 03,0831''","- 17° 51' 32,5797''",683.9072,727.045,0.05,979318.31
922062,"28° 49' 00,6873''","- 17° 51' 22,4473''",721.2098,764.350,0.05,979308.96
922063,"28° 48' 44,7710''","- 17° 51' 38,9379''",792.6922,835.972,0.05,979296.97
922064,"28° 48' 48,9947''","- 17° 51' 57,7437''",834.3288,877.525,0.05,979286.78
922065,"28° 48' 32,7693''","- 17° 52' 01,6743''",893.9931,937.300,0.05,979278.01
922066,"28° 48' 26,3374''","- 17° 52' 05,8569''",940.9222,984.304,0.05,979268.24
922067,"28° 48' 10,3555''","- 17° 52' 17,0935''",996.5226,1039.995,0.05,979259.72
922069,"28° 48' 02,0767''","- 17° 52' 26,3494''",976.6279,1020.136,0.05,979264.28
922070,"28° 48' 10,9073''","- 17° 52' 48,7427''",1017.2551,1060.671,0.05,979253.47
922071,"28° 47' 50,9737''","- 17° 53' 09,3848''",1088.6610,1132.144,0.05,979241.28
922072,"28° 47' 48,8456''","- 17° 53' 31,1714''",1102.0826,1145.562,0.05,979237.21
922073,"28° 47' 49,4016''","- 17° 54' 03,8846''",1086.5987,1129.989,0.05,979238.61
922074,"28° 48' 13,4922''","- 17° 54' 08,2007''",1045.9155,1089.195,0.05,979246.26
922076,"28° 48' 23,0659''","- 17° 54' 27,5713''",975.2061,1018.406,0.05,979260.67
922077,"28° 48' 30,9847''","- 17° 54' 54,5185''",988.0843,1031.154,0.05,979252.04
922078,28° 48' 18'',- 17° 55' 24'',931.1877,no encontrada,,979265.06
922080,"28° 48' 05,1663''","- 17° 55' 16,9331''",1009.9036,1052.875,0.05,979248.3
922081,"28° 47' 51,6597''","- 17° 55' 15,9588''",1070.0858,1113.288,0.05,979236.46
923001,"28° 37' 58,5171''","- 17° 53' 16,4168''",498.1181,541.668,0.05,979344.42
923002,"28° 38' 23,9894''","- 17° 53' 17,4102''",549.5520,593.156,0.05,979336.85
923003,"28° 38' 54,2384''","- 17° 53' 02,5535''",609.9375,653.664,0.05,979331.27
923004,"28° 39' 01,4995''","- 17° 52' 40,5895''",671.3762,715.196,0.05,979322.6
923005,"28° 39' 00,7901''","- 17° 52' 11,6276''",740.1974,784.056,0.05,979309.38
923006,"28° 39' 05,6515''","- 17° 51' 43,6291''",798.2822,842.203,0.05,979298.53
923007,28° 39' 13'',- 17° 51' 13'',841.5068,no encontrada,,979291.17
923009,"28° 39' 02,2582''","- 17° 50' 31,2178''",887.7471,931.686,0.05,979277.13
923010,"28° 38' 44,4499''","- 17° 50' 06,8362''",945.2338,989.163,0.05,979259.08
924001,"28° 40' 44,1232''","- 17° 46' 11,7496''",43.4156,88.007,0.05,979441.55
924002,"28° 41' 06,0844''","- 17° 46' 04,0073''",86.5220,130.013,0.05,979433.16
924003,"28° 41' 01,4710''","- 17° 46' 14,7380''",140.3517,183.904,0.05,979420.94
924004,"28° 41' 04,9389''","- 17° 46' 22,9518''",197.9299,241.467,0.05,979409.69
924005,"28° 41' 07,4380''","- 17° 46' 30,3590''",234.8134,278.431,0.05,979402.98
924007,"28° 41' 04,7628''","- 17° 46' 42,9843''",292.5044,336.273,0.05,979391.84
924008,"28° 40' 43,3010''","- 17° 46' 51,6155''",350.3615,393.989,0.05,979377.05
924009,"28° 40' 25,1397''","- 17° 46' 55,4547''",368.3766,412.042,0.05,979373.26
924010,"28° 40' 14,8409''","- 17° 47' 27,4270''",433.3247,477.136,0.05,979362.33
924011,"28° 40' 07,1895''","- 17° 47' 39,0342''",488.4078,532.118,0.05,979350.03
924012,"28° 40' 21,4374''","- 17° 47' 53,2071''",555.7612,599.607,0.05,979337.44
924014,"28° 40' 06,8529''","- 17° 48' 06,9539''",615.7281,659.612,0.05,979323.76
924015,"28° 40' 05,4866''","- 17° 48' 25,2550''",682.7340,726.644,0.05,979310.67
924016,"28° 39' 46,2634''","- 17° 48' 27,2076''",746.1966,790.078,0.05,979295.19
924017,"28° 39' 26,6537''","- 17° 48' 40,3273''",802.5888,846.473,0.05,979282.14
924018,"28° 39' 20,8853''","- 17° 48' 46,3009''",872.5186,916.445,0.05,979265.82
924019,"28° 39' 39,5206''","- 17° 48' 56,5884''",923.8414,966.606,0.05,979258.3
924020,"28° 39' 28,6418''","- 17° 49' 00,8241''",972.9031,1016.986,0.05,979245.62
924021,"28° 39' 15,8712''","- 17° 49' 07,9724''",1010.5508,1054.015,0.05,979237.29
924024,"28° 39' 04,4557''","- 17° 49' 49,3106''",1035.7974,1080.164,0.05,979237.13
927001,"28° 37' 58,8993''","- 17° 46' 43,2351''",390.1038,433.514,0.05,979353.01
927002,"28° 38' 20,9429''","- 17° 46' 50,5711''",399.3761,442.854,0.05,979355.4
927003,"28° 38' 46,1180''","- 17° 47' 07,8121''",379.0822,422.840,0.05,979365.16
927004,"28° 39' 07,3387''","- 17° 47' 17,9411''",356.6440,400.376,0.05,979373.29
927005,"28° 39' 02,1209''","- 17° 47' 31,8958''",421.1066,464.743,0.05,979359.84
927007,"28° 38' 43,9193''","- 17° 47' 36,0402''",477.6916,521.338,0.05,979345.81
927008,"28° 38' 32,9166''","- 17° 47' 47,4016''",548.2658,591.939,0.05,979329.8
927009,"28° 38' 08,5153''","- 17° 47' 52,4622''",615.4883,659.090,0.05,979312.14
927010,"28° 37' 44,1119''","- 17° 48' 07,4139''",695.0770,738.692,0.05,979292.01
927011,"28° 37' 57,5356''","- 17° 48' 27,6888''",772.0359,815.773,0.05,979277.96
927013,"28° 37' 42,3916''","- 17° 48' 38,1610''",849.2356,892.948,0.05,979260.02
927014,"28° 37' 35,4981''","- 17° 48' 46,1410''",929.0693,972.735,0.05,979240.51
927015,"28° 37' 20,1473''","- 17° 49' 01,3807''",1042.6434,1086.376,0.05,979216.2
927016,"28° 37' 00,4861''","- 17° 48' 55,5473''",1115.2377,1158.835,0.05,979171.67
927017,"28° 37' 06,7150''","- 17° 49' 21,8004''",1198.0959,1241.833,0.05,979180.65
927019,"28° 36' 38,9642''","- 17° 49' 11,5761''",1293.7620,1337.322,0.05,979151.6
927020,"28° 36' 37,0853''","- 17° 49' 25,8062''",1376.9595,1420.547,0.05,979132.86
927021,"28° 36' 36,0081''","- 17° 49' 44,1384''",1441.2532,1484.664,0.05,979119.46
927022,"28° 36' 52,8586''","- 17° 50' 03,0732''",1457.5828,1501.255,0.05,979116.79
927023,"28° 36' 53,0435''","- 17° 50' 37,4516''",1393.5086,1437.283,0.05,979134.68
927024,"28° 37' 02,8864''","- 17° 50' 54,3184''",1341.7106,1385.307,0.05,979145.92
927026,"28° 37' 15,6511''","- 17° 50' 27,8305''",1277.1821,1320.815,0.05,979167.55
927027,"28° 37' 22,7472''","- 17° 50' 18,4703''",1233.6230,1277.306,0.05,979180.45
927028,"28° 37' 33,4''","- 17° 50' 12,0''",1180.2944,1235,,979195.04
927029,"28° 37' 54,4837''","- 17° 49' 58,2515''",1117.9120,1161.700,0.05,979211.93
927030,"28° 38' 14,6424''","- 17° 49' 50,0428''",1055.9227,1099.702,0.05,979228.03
928001,"28° 29' 24,0308''","- 17° 50' 40,6763''",663.3973,705.476,0.05,979242.86
928002,"28° 29' 33,0627''","- 17° 51' 05,7726''",608.9899,651.178,0.05,979253.14
928003,"28° 29' 58,2622''","- 17° 51' 25,6075''",536.0874,578.315,0.05,979272.18
928004,"28° 30' 08,4028''","- 17° 51' 31,9225''",483.8966,526.188,0.05,979286.68
928006,"28° 30' 13,0623''","- 17° 51' 43,2305''",411.9171,454.169,0.05,979303.13
928007,"28° 30' 05,6212''","- 17° 51' 47,7770''",350.6401,392.869,0.05,979316.75
928008,"28° 30' 27,2144''","- 17° 51' 59,7434''",297.9489,340.248,0.05,979328.45
928009,"28° 30' 31,1477''","- 17° 52' 06,9695''",248.2205,290.547,0.05,979339.65
928010,"28° 30' 02,3972''","- 17° 52' 00,5782''",179.4352,221.657,0.05,979354.26
928011,"28° 30' 29,7486''","- 17° 52' 15,2669''",115.8715,158.177,0.05,979369.59
928013,"28° 30' 07,9725''","- 17° 52' 10,1304''",63.5661,105.775,0.05,979380.75
928014,"28° 29' 40,2581''","- 17° 52' 12,3529''",36.1878,78.841,0.05,979387.3
928015,"28° 29' 08,8159''","- 17° 52' 07,1703''",21.5486,66.148,0.05,979387.84
928016,"28° 28' 37,2408''","- 17° 51' 54,0280''",35.8454,77.733,0.05,979384.84
928018,"28° 28' 11,4465''","- 17° 51' 43,3559''",38.7505,80.541,0.05,979381.67
928019,"28° 27' 46,6550''","- 17° 51' 14,4101''",29.3323,71.092,0.05,979381.33
928020,"28° 27' 28,3222''","- 17° 50' 48,4455''",32.8677,74.582,0.05,979376.78
928021,"28° 27' 37,2368''","- 17° 50' 42,2031''",114.1669,155.854,0.05,979358.19
928022,"28° 27' 53,0716''","- 17° 50' 31,4869''",173.7185,215.450,0.05,979346.29
928023,"28° 28' 17,7269''","- 17° 50' 13,7413''",234.9484,276.821,0.05,979334.61
928025,"28° 28' 32,1972''","- 17° 50' 11,9029''",304.9828,346.905,0.05,979319.76
928026,"28° 28' 58,4512''","- 17° 49' 57,0392''",373.1624,415.934,0.05,979303.85
928027,"28° 29' 24,1968''","- 17° 49' 49,4059''",434.5523,476.722,0.05,979290.83
928028,"28° 29' 47,8158''","- 17° 49' 42,7079''",467.8725,510.192,0.05,979285.17
928029,"28° 29' 44,4295''","- 17° 49' 50,3513''",514.7316,556.996,0.05,979274.99
928030,"28° 29' 59,1152''","- 17° 49' 43,5911''",559.9518,602.280,0.05,979264.41
928032,"28° 30' 04,8524''","- 17° 49' 46,0690''",620.0230,662.348,0.05,979251.65
928033,"28° 29' 47,9278''","- 17° 50' 15,7401''",678.8025,721.061,0.05,979241.11
10921001,"28° 41' 12,5415''","- 17° 45' 36,3760''",4.4421,48.084,0.05,979450.4
20921004,28° 42' 11'',- 17° 45' 54'',224.4298,no encontrada,,979408.86
20921005,"28° 42' 27,5500''","- 17° 45' 54,8270''",278.2390,321.667,0.05,979395.99
20921007,"28° 42' 34,0612''","- 17° 46' 05,5571''",352.9898,396.460,0.05,979380.93
20921008,"28° 42' 43,7821''","- 17° 46' 00,0017''",408.7852,452.621,,979367.98
20921009,"28° 42' 50,6701''","- 17° 46' 03,6981''",482.1525,525.617,0.05,979352.33
20921010,"28° 42' 57,6850''","- 17° 46' 12,9140''",568.0569,611.503,0.05,979334.1
20921011,"28° 43' 12,3612''","- 17° 46' 19,1102''",649.0953,692.592,0.05,979318.89
20921013,"28° 43' 26,3651''","- 17° 46' 19,2021''",708.1931,751.542,0.05,979306.46
20921014,"28° 43' 26,2656''","- 17° 46' 26,7222''",788.2799,831.828,0.05,979288.53
20921015,"28° 43' 12,4996''","- 17° 46' 43,9147''",861.1939,904.869,0.05,979272.71
20921016,"28° 43' 22,6261''","- 17° 46' 55,4794''",935.1570,978.712,0.05,979260.9
20921018,"28° 43' 30,7966''","- 17° 46' 58,3189''",1001.6234,1045.202,0.05,979245.72
20921019,"28° 43' 20,9060''","- 17° 47' 12,9855''",1050.8908,1098.788,,979235.79
20921020,"28° 43' 11,8774''","- 17° 47' 30,0098''",1113.3263,1157.097,0.05,979221.85
20921021,"28° 43' 26,8726''","- 17° 47' 34,5922''",1206.5186,1250.239,0.05,979202.61
20921022,"28° 43' 33,0959''","- 17° 47' 39,8128''",1274.3838,1318.496,,979187.56
20921024,"28° 43' 29,6023''","- 17° 48' 01,9170''",1333.1903,1377.038,0.05,979177.86
20921025,"28° 43' 23,4784''","- 17° 48' 18,3296''",1389.2483,1433.137,0.05,979165.92
20921026,"28° 43' 32,9670''","- 17° 48' 27,2005''",1466.1917,1506.784,,979151.57
20921027,"28° 43' 48,1787''","- 17° 48' 23,6235''",1548.9795,1591.366,,979131.78
20921028,"28° 43' 57,0188''","- 17° 48' 38,9188''",1634.6421,1678.559,0.05,979115.87
20921030,28° 43' 47'',- 17° 48' 55'',1696.4558,no encontrada,,979102.23
20921031,"28° 43' 49,7206''","- 17° 49' 04,6153''",1781.3975,1825.410,0.05,979083.99
20921032,"28° 43' 59,0910''","- 17° 49' 11,8068''",1847.9056,1891.977,0.05,979070.66
20921033,"28° 44' 08,1346''","- 17° 49' 28,4921''",1909.1398,1953.162,0.05,979059.47
20921034,"28° 44' 25,4256''","- 17° 49' 47,5970''",1985.3544,2029.457,0.05,979044.79
20921036,"28° 44' 50,3632''","- 17° 49' 55,0901''",2077.8409,2121.897,0.05,979021.45
20921037,"28° 45' 05,1439''","- 17° 50' 07,8999''",2151.0516,2195.052,0.05,979001.11
20921038,"28° 44' 58,9948''","- 17° 50' 35,3943''",2222.6576,2266.673,0.05,978986.35
20921039,"28° 45' 13,7154''","- 17° 51' 01,2259''",2265.5105,2309.499,0.05,978978
20921040,28° 45' 22'',- 17° 51' 11'',2289.7417,no encontrada,,978971.19
20921041,"28° 45' 42,5543''","- 17° 51' 56,9349''",2274.7032,2318.641,0.05,978974.36
20921043,"28° 45' 45,1694''","- 17° 52' 28,5509''",2269.6786,2313.555,0.05,978974.21
20921044,"28° 45' 48,0113''","- 17° 52' 55,4589''",2228.0961,2271.933,0.05,978985.07
20921045,"28° 45' 48,6221''","- 17° 53' 26,5889''",2167.1584,2211.027,0.05,979003.59
20921046,"28° 45' 54,6052''","- 17° 53' 51,6476''",2106.2129,2150.006,0.05,979014.83
20921048,"28° 46' 02,9934''","- 17° 54' 06,6140''",2030.6518,2074.344,0.05,979029.45
20921049,"28° 46' 06,8947''","- 17° 54' 20,6665''",1944.8934,1988.524,0.05,979048.86
20921050,"28° 46' 21,0047''","- 17° 54' 15,9460''",1882.1203,1925.702,0.05,979060.13
20921051,"28° 46' 17,2''","- 17° 54' 34,0''",1813.0726,1859,,979077.75
20921052,"28° 46' 29,9779''","- 17° 54' 27,5704''",1730.1942,1774.103,,979095.96
20921053,"28° 46' 35,2082''","- 17° 54' 29,8748''",1667.5170,1711.067,0.05,979109.96
20921055,"28° 46' 38,5017''","- 17° 54' 54,5713''",1577.9087,1621.471,0.05,979127.39
20921056,"28° 46' 45,3623''","- 17° 55' 03,4826''",1493.2408,1536.814,0.05,979146.1
20921057,"28° 46' 53,2782''","- 17° 55' 08,9558''",1400.5044,1443.911,0.05,979166.65
20921058,"28° 47' 07,1467''","- 17° 55' 07,0474''",1314.3365,1357.723,0.05,979184.77
20921059,"28° 47' 24,0063''","- 17° 55' 04,9362''",1200.1239,1400.683,,979209.49
30921062,"28° 47' 15,9541''","- 17° 55' 36,1066''",1160.8226,1204.110,0.05,979216.22
30921063,"28° 46' 59,8502''","- 17° 55' 48,3695''",1195.0461,1238.321,0.05,979209.75
30921064,"28° 46' 46,9438''","- 17° 55' 52,3051''",1186.3333,1229.745,0.05,979212.09
30921066,"28° 46' 49,7658''","- 17° 56' 19,2523''",1162.3398,1205.440,0.05,979212.25
30921067,"28° 46' 42,2411''","- 17° 56' 38,8613''",1097.9673,1141.091,0.05,979225.08
30921068,"28° 46' 51,1389''","- 17° 56' 51,6140''",1038.4817,1082.959,,979235.28
30921069,"28° 46' 38,8656''","- 17° 57' 08,7293''",979.8969,1022.736,0.05,979247.1
30921070,"28° 46' 32,5219''","- 17° 57' 23,6519''",922.6448,965.615,0.05,979258.76
30921071,"28° 46' 31,5187''","- 17° 57' 44,6439''",828.4482,871.242,0.05,979278.34
30921073,"28° 46' 24,3977''","- 17° 57' 52,0762''",815.6304,858.332,0.05,979279.49
30921074,"28° 46' 05,5364''","- 17° 58' 23,3730''",778.7761,821.384,0.05,979283.97
30921075,"28° 45' 34,7847''","- 17° 58' 38,8963''",798.7445,841.331,0.05,979277.68
30921076,28° 45' 18'',- 17° 58' 18'',844.6668,no encontrada,,979272.23
30921077,28° 45' 03'',- 17° 57' 59'',881.1241,no encontrada,,979267.43
30921079,"28° 44' 37,5325''","- 17° 58' 05,9855''",890.4028,933.248,0.05,979261.99
30921080,"28° 44' 17,9026''","- 17° 57' 53,2193''",853.8761,896.830,0.05,979272.11
30921081,"28° 43' 51,9208''","- 17° 57' 49,9393''",794.6879,836.710,,979284.91
30921082,"28° 43' 24,9522''","- 17° 57' 33,0649''",730.2894,773.310,0.05,979301.56
30921083,28° 43' 10'',- 17° 57' 22'',688.9324,no encontrada,,979313.22
30921087,28° 42' 26'',- 17° 57' 05'',610.4108,no encontrada,,979330.71
30921088,28° 42' 13'',- 17° 57' 07'',615.1284,no encontrada,,979328.57
30921089,"28° 41' 48,4119''","- 17° 57' 01,1550''",604.7292,647.851,0.05,979330.9
30921090,"28° 41' 30,3399''","- 17° 56' 52,3930''",594.1919,637.282,0.05,979334.37
30921091,28° 41' 06'',- 17° 56' 50'',561.9900,no encontrada,,979339.3
30921092,28° 40' 39'',- 17° 56' 39'',535.9897,no encontrada,,979342.58
30921093,"28° 40' 38,3493''","- 17° 56' 38,3573''",535.5855,578.589,0.05,979342.7
30921094,28° 40' 08'',- 17° 56' 33'',525.4208,no encontrada,,979339.44
30921095,"28° 40' 00,6088''","- 17° 56' 24,9389''",478.1668,521.370,0.05,979349.39
30921096,28° 40' 21'',- 17° 56' 01'',411.8450,no encontrada,,979369.97
30921098,"28° 40' 10,0097''","- 17° 56' 06,2057''",348.6468,394.611,,979383.93
30921099,28° 39' 53'',- 17° 56' 13'',283.8822,no encontrada,,979396.01
30921100,"28° 39' 40,2329''","- 17° 56' 22,9640''",222.5754,265.880,0.05,979406.34
30921101,28° 39' 41'',- 17° 56' 13'',144.1022,no encontrada,,979423.23
30921102,"28° 39' 43,1059''","- 17° 55' 59,5574''",77.7356,121.039,0.05,979437.39
30921104,"28° 39' 26,3177''","- 17° 56' 06,7811''",130.8422,174.016,0.05,979427.34
30921105,"28° 39' 12,1966''","- 17° 56' 11,3104''",205.7469,248.816,0.05,979411.12
30921106,28° 39' 21'',- 17° 55' 45'',266.9236,no encontrada,,979401.01
30921107,28° 39' 30'',- 17° 55' 13'',309.2850,no encontrada,,979394.62
30921108,28° 39' 31'',- 17° 55' 30'',,no encontrada,,
30921109,"28° 39' 31,3856''","- 17° 54' 47,7217''",341.9905,385.274,0.05,979388.74
30921110,28° 39' 31'',- 17° 54' 47'',342.6247,no encontrada,,979388.55
30921111,"28° 39' 23,0694''","- 17° 54' 21,3325''",376.9809,419.501,,979382.58
30921112,"28° 38' 55,4966''","- 17° 54' 02,3874''",404.3027,448.044,,979371.73
30921113,"28° 38' 26,7536''","- 17° 53' 48,3003''",445.2597,488.789,0.05,979358.34
30921114,"28° 37' 59,5412''","- 17° 53' 30,5964''",473.9723,517.601,0.05,979348.43
40921115,"28° 37' 39,4605''","- 17° 53' 07,4234''",513.1188,556.699,0.05,979335.52
40921116,"28° 37' 01,5153''","- 17° 53' 07,0700''",539.1839,583.159,,979323.13
40921119,"28° 35' 53,4196''","- 17° 52' 49,5777''",611.1175,654.439,0.05,979294.87
40921120,"28° 35' 19,7433''","- 17° 52' 49,2194''",616.3787,659.583,0.05,979288.53
40921121,"28° 34' 50,3248''","- 17° 52' 42,0749''",633.5433,676.703,0.05,979280.8
40921122,"28° 34' 28,6751''","- 17° 52' 24,2714''",670.6826,713.808,0.05,979267.58
40921124,"28° 33' 57,7683''","- 17° 52' 21,8924''",696.3030,739.287,0.05,979257.37
40921125,"28° 33' 26,0327''","- 17° 52' 09,8175''",732.4655,775.363,0.05,979246.3
40921126,"28° 32' 56,8699''","- 17° 51' 59,8551''",738.5352,781.390,0.05,979241.77
40921128,"28° 32' 25,7948''","- 17° 52' 00,7522''",762.5710,805.271,0.05,979229.79
40921129,"28° 32' 01,7610''","- 17° 51' 55,4236''",768.8586,811.435,,979225.72
40921130,"28° 31' 32,0123''","- 17° 51' 47,3169''",779.4854,822.020,0.05,979219.14
40921131,"28° 31' 03,5083''","- 17° 51' 34,5269''",767.3132,809.777,0.05,979223.34
40921132,"28° 30' 37,8541''","- 17° 51' 21,1370''",745.7403,788.115,0.05,979226.8
40921133,"28° 29' 58,3174''","- 17° 51' 14,3036''",707.2877,749.512,0.05,979227.63
40921134,28° 29' 52'',- 17° 51' 07'',704.6457,no encontrada,,979230.38
50921138,"28° 29' 58,5579''","- 17° 50' 16,7266''",736.7068,779.839,,979226.16
50921139,"28° 30' 19,6586''","- 17° 49' 45,7057''",747.9898,790.333,0.05,979220.92
50921140,"28° 30' 50,0990''","- 17° 49' 24,7748''",764.9133,807.443,0.05,979220.73
50921141,"28° 31' 25,4015''","- 17° 49' 07,7821''",754.4222,797.084,0.05,979226.37
50921142,"28° 32' 08,9930''","- 17° 48' 55,5993''",723.8193,766.632,0.05,979241.01
50921144,"28° 32' 40,1115''","- 17° 48' 37,6937''",669.5118,712.408,0.05,979255.32
50921145,"28° 33' 05,0314''","- 17° 48' 20,8822''",681.9467,725.041,,979253.68
50921146,"28° 33' 37,1293''","- 17° 47' 56,8733''",676.5050,719.521,0.05,979257.58
50921148,"28° 34' 07,0313''","- 17° 47' 32,0116''",632.4380,675.447,0.05,979269.45
50921149,"28° 34' 28,6842''","- 17° 47' 14,8516''",625.4874,668.524,0.05,979271.84
50921150,"28° 34' 53,2750''","- 17° 47' 05,6303''",593.9345,637.029,0.05,979278.51
50921151,"28° 35' 22,9734''","- 17° 46' 54,5862''",579.5122,622.687,0.05,979287.01
50921152,"28° 35' 52,8638''","- 17° 46' 48,9583''",542.6213,585.843,0.05,979296.98
50921154,"28° 36' 21,7458''","- 17° 46' 46,4213''",473.9231,516.366,,979319.22
50921155,"28° 36' 56,8564''","- 17° 46' 49,1711''",460.6432,504.047,0.05,979327.43
50921156,"28° 37' 19,9387''","- 17° 46' 52,2180''",439.5230,483.083,0.05,979337.3
